Economy,Code,Year,Eating_disorders_Male,Eating_disorders_Female,All_gender
Tunisia,TUN,2019,0.1421857,0.26640365,0.2042946749999999
Turkey,TUR,2019,0.15187052,0.44028714,0.29607883
Turkmenistan,TKM,2019,0.11035793,0.19996707,0.1551625
Tuvalu,TUV,2019,0.06383441,0.10332092,0.083577665
Uganda,UGA,2019,0.06864689,0.120615974,0.094631432
Ukraine,UKR,2019,0.08583418,0.15689126,0.12136272
United Arab Emirates,ARE,2019,0.23736134,0.41370806,0.3255347
United Kingdom,GBR,2019,0.22373833,0.6307647,0.4272515149999999
United States,USA,2019,0.22412287,0.62922126,0.426672065
United States Virgin Islands,VIR,2019,0.19621,0.4866859,0.34144795
Upper-middle-income countries,,2019,0.116366915,0.21508141,0.1657241625
Uruguay,URY,2019,0.20377834,0.5013498,0.35256407
Uzbekistan,UZB,2019,0.083078094,0.14853293,0.115805512
Vanuatu,VUT,2019,0.059492227,0.095241815,0.077367021
Venezuela,VEN,2019,0.12136451,0.30009604,0.210730275
Vietnam,VNM,2019,0.07437272,0.11578759,0.095080155
World,OWID_WRL,2019,0.11792546,0.23148793,0.174706695
Yemen,YEM,2019,0.08741875,0.16003008,0.123724415
Zambia,ZMB,2019,0.08305864,0.1452307,0.11414467
Zimbabwe,ZWE,2019,0.07054552,0.12358827,0.097066895
